Arroyo Aguiar,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,2340,-31.416670,-60.666670,"-31.416670,-60.666670"
Asco,Valid,H6,41,Fell,01/01/1805 12:00:00 AM,2345,42.450000,9.033330,"42.450000,9.033330"
Ash Creek,Valid,L6,9500,Fell,01/01/2009 12:00:00 AM,48954,31.805000,-97.010000,"31.805000,-97.010000"
Ashdon,Valid,L6,1300,Fell,01/01/1923 12:00:00 AM,2346,52.050000,0.300000,"52.050000,0.300000"
Assisi,Valid,H5,2000,Fell,01/01/1886 12:00:00 AM,2353,43.033330,12.550000,"43.033330,12.550000"
Atarra,Valid,L4,1280,Fell,01/01/1920 12:00:00 AM,4883,25.254170,80.625000,"25.254170,80.625000"
Atemajac,Valid,L6,94.2,Fell,01/01/1896 12:00:00 AM,4884,20.066670,-103.666670,"20.066670,-103.666670"
Athens,Valid,LL6,265,Fell,01/01/1933 12:00:00 AM,4885,34.750000,-87.000000,"34.750000,-87.000000"
Atoka,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,4888,34.316670,-96.150000,"34.316670,-96.150000"
Aubres,Valid,Aubrite,800,Fell,01/01/1836 12:00:00 AM,4893,44.383330,5.166670,"44.383330,5.166670"
Aumale,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,4899,36.166670,3.666670,"36.166670,3.666670"
Aumieres,Valid,L6,2000,Fell,01/01/1842 12:00:00 AM,4900,44.333330,3.233330,"44.333330,3.233330"
Ausson,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,4903,43.083330,0.583330,"43.083330,0.583330"
Avanhandava,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,4905,-21.460280,-49.950830,"-21.460280,-49.950830"
Avce,Valid,"Iron IIAB",1230,Fell,01/01/1908 12:00:00 AM,4906,46.000000,13.500000,"46.000000,13.500000"
Avilez,Valid,H,146,Fell,01/01/1855 12:00:00 AM,4907,25.000000,-103.500000,"25.000000,-103.500000"
Awere,Valid,L4,134,Fell,01/01/1968 12:00:00 AM,4910,2.716670,32.833330,"2.716670,32.833330"
Aztec,Valid,L6,2830,Fell,01/01/1938 12:00:00 AM,4913,36.800000,-108.000000,"36.800000,-108.000000"
Bachmut,Valid,L6,18000,Fell,01/01/1814 12:00:00 AM,4917,48.600000,38.000000,"48.600000,38.000000"
Bahjoi,Valid,"Iron IAB-sLL",10322,Fell,01/01/1934 12:00:00 AM,4922,28.483330,78.500000,"28.483330,78.500000"
Bald Mountain,Valid,L4,3700,Fell,01/01/1929 12:00:00 AM,4925,35.966670,-82.483330,"35.966670,-82.483330"
Baldwyn,Valid,L6,345,Fell,01/01/1922 12:00:00 AM,4926,34.500000,-88.666670,"34.500000,-88.666670"
Bali,Valid,CV3,1000,Fell,01/01/1907 12:00:00 AM,4928,5.383330,16.383330,"5.383330,16.383330"
Ban Rong Du,Valid,"Iron ungrouped",16700,Fell,01/01/1993 12:00:00 AM,4934,16.666670,101.183330,"16.666670,101.183330"
Bandong,Valid,LL6,11500,Fell,01/01/1871 12:00:00 AM,4935,-6.916670,107.600000,"-6.916670,107.600000"
Bansur,Valid,L6,15000,Fell,01/01/1892 12:00:00 AM,4936,27.700000,76.333330,"27.700000,76.333330"
Banswal,Valid,L5,14,Fell,01/01/1913 12:00:00 AM,4937,30.400000,78.200000,"30.400000,78.200000"
Banten,Valid,CM2,629,Fell,01/01/1933 12:00:00 AM,4938,-6.333330,106.000000,"-6.333330,106.000000"
Barbotan,Valid,H5,6400,Fell,01/01/1790 12:00:00 AM,4942,43.950000,-0.050000,"43.950000,-0.050000"
Barea,Valid,Mesosiderite-A1,3200,Fell,01/01/1842 12:00:00 AM,4946,42.383330,-2.500000,"42.383330,-2.500000"
Barnaul,Valid,H5,23.2,Fell,01/01/1904 12:00:00 AM,4947,52.733330,84.083330,"52.733330,84.083330"
Barntrup,Valid,LL4,17,Fell,01/01/1886 12:00:00 AM,4948,52.000000,9.100000,"52.000000,9.100000"
Baroti,Valid,L6,4500,Fell,01/01/1910 12:00:00 AM,4949,31.616670,76.800000,"31.616670,76.800000"
Barwell,Valid,L5,44000,Fell,01/01/1965 12:00:00 AM,4954,52.565280,-1.339720,"52.565280,-1.339720"
Bassikounou,Valid,H5,29560,Fell,01/01/2006 12:00:00 AM,44876,15.783330,-5.900000,"15.783330,-5.900000"
Baszkówka,Valid,L5,15500,Fell,01/01/1994 12:00:00 AM,4957,52.033330,20.935830,"52.033330,20.935830"
Bath,Valid,H4,21000,Fell,01/01/1892 12:00:00 AM,4974,45.416670,-98.316670,"45.416670,-98.316670"
Bath Furnace,Valid,L6,86000,Fell,01/01/1902 12:00:00 AM,4975,38.250000,-83.750000,"38.250000,-83.750000"
Battle Mountain,Valid,L6,2900,Fell,01/01/2012 12:00:00 AM,56133,40.668130,-117.189130,"40.668130,-117.189130"
Bawku,Valid,LL5,1557,Fell,01/01/1989 12:00:00 AM,4976,11.083330,-0.183330,"11.083330,-0.183330"
Baxter,Valid,L6,611,Fell,01/01/1916 12:00:00 AM,4977,36.750000,-93.500000,"36.750000,-93.500000"
Beardsley,Valid,H5,16000,Fell,01/01/1929 12:00:00 AM,4984,39.800000,-101.200000,"39.800000,-101.200000"
Beaver Creek,Valid,H5,14000,Fell,01/01/1893 12:00:00 AM,4986,51.166670,-117.333330,"51.166670,-117.333330"
Beddgelert,Valid,H5,794,Fell,01/01/1949 12:00:00 AM,4993,53.016670,-4.100000,"53.016670,-4.100000"
Bells,Valid,C2-ung,375,Fell,01/01/1961 12:00:00 AM,5005,33.600000,-96.466670,"33.600000,-96.466670"
Benares a,Valid,LL4,3700,Fell,01/01/1798 12:00:00 AM,5011,25.366670,82.916670,"25.366670,82.916670"
Benguerir,Valid,LL6,25000,Fell,01/01/2004 12:00:00 AM,30443,32.250000,-8.150000,"32.250000,-8.150000"
Beni M'hira,Valid,L6,19000,Fell,01/01/2001 12:00:00 AM,5018,32.866670,10.800000,"32.866670,10.800000"
Benld,Valid,H6,1770.5,Fell,01/01/1938 12:00:00 AM,5021,39.083330,-89.150000,"39.083330,-89.150000"
Benoni,Valid,H6,3880,Fell,01/01/1943 12:00:00 AM,5023,-26.166670,28.416670,"-26.166670,28.416670"
Bensour,Valid,LL6,45000,Fell,01/01/2002 12:00:00 AM,5024,30.000000,-7.000000,"30.000000,-7.000000"
Yamato 790761,Valid,H4,95.69,Found,01/01/1979 12:00:00 AM,26110,-71.500000,35.666670,"-71.500000,35.666670"
Yamato 791086,Valid,L6,2.16,Found,01/01/1979 12:00:00 AM,26435,-71.500000,35.666670,"-71.500000,35.666670"
